Date/Time,Electricity:Facility [J](Hourly),Electricity:HVAC [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:Plant [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Electricity:Plant [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:Plant [J](RunPeriod),MYGENERALLIGHTS [J](Monthly),MYGENERALLIGHTS [J](RunPeriod),MYBUILDINGELECTRIC [J](Monthly),MYBUILDINGELECTRIC [J](RunPeriod),MYBUILDINGOTHER [J](Monthly),MYBUILDINGOTHER [J](RunPeriod)
 07/15  01:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/15  02:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/15  03:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/15  04:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/15  05:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/15  06:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/15  07:00:00,11130811.492172582,1354960.257918032,6805967.970983759,0.0,1354960.257918032
 07/15  08:00:00,12459378.99654954,1354960.257918032,8023433.454941139,0.0,1354960.257918032
 07/15  09:00:00,44791683.37349568,1406663.9610388335,10321627.62407279,0.0,1406663.9610388335
 07/15  10:00:00,62088449.323545806,1766868.813462662,16620992.415925898,0.0,1766868.813462662
 07/15  11:00:00,66754325.44884097,2009409.9878580472,19618435.99184759,0.0,2009409.9878580472
 07/15  12:00:00,66319793.65901962,1998274.7306325247,20491161.42112206,0.0,1998274.7306325247
 07/15  13:00:00,61526292.213551216,1788851.0406748443,19917206.42795089,0.0,1788851.0406748443
 07/15  14:00:00,67436244.88842085,2047207.4590768348,22860091.634179723,0.0,2047207.4590768348
 07/15  15:00:00,70304407.25363047,2196612.4030188075,24649068.42419689,0.0,2196612.4030188075
 07/15  16:00:00,68759361.23356608,2132645.51288815,24940779.55970779,0.0,2132645.51288815
 07/15  17:00:00,62090114.06138601,1816442.7427246566,22178886.537350975,0.0,1816442.7427246566
 07/15  18:00:00,58437314.35669851,1629915.8570299675,18690418.944251705,0.0,1629915.8570299675
 07/15  19:00:00,38481338.92026259,1372059.544844371,13385882.546322662,0.0,1372059.544844371
 07/15  20:00:00,23969676.568990797,1354960.257918032,9942144.217916982,0.0,1354960.257918032
 07/15  21:00:00,5760000.0,0.0,0.0,0.0,0.0
 07/15  22:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/15  23:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/15  24:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/16  01:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/16  02:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/16  03:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/16  04:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/16  05:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/16  06:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/16  07:00:00,16135014.511278236,1356573.8666003842,11213873.173804916,0.0,1356573.8666003842
 07/16  08:00:00,17105145.403518684,1381512.2611948312,12164279.705395786,0.0,1381512.2611948312
 07/16  09:00:00,50257810.527888484,1561231.732330301,15341789.450888678,0.0,1561231.732330301
 07/16  10:00:00,67080068.972376525,2032132.7158252646,21231744.633707155,0.0,2032132.7158252646
 07/16  11:00:00,70879116.44283552,2172989.950026868,23498907.44060151,0.0,2172989.950026868
 07/16  12:00:00,69097863.55379495,2046807.3569274195,23172263.74437271,0.0,2046807.3569274195
 07/16  13:00:00,63209818.45159446,1796017.6076320997,21563633.37079412,0.0,1796017.6076320997
 07/16  14:00:00,69086851.69190246,2072354.9569124356,24462630.470152754,0.0,2072354.9569124356
 07/16  15:00:00,71756908.08333898,2259433.1719818013,26028219.71098916,0.0,2259433.1719818013
 07/16  16:00:00,69560496.66763687,2219438.4789279136,25653773.193850752,0.0,2219438.4789279136
 07/16  17:00:00,64544048.779609695,2021267.5512731862,24424158.592918485,0.0,2021267.5512731862
 07/16  18:00:00,62681528.45989629,1893275.4776906492,22683566.130236402,0.0,1893275.4776906492
 07/16  19:00:00,41102781.21513095,1447590.184247354,15935587.893376183,0.0,1447590.184247354
 07/16  20:00:00,28073771.891908098,1354960.257918032,13795182.704110708,0.0,1354960.257918032
 07/16  21:00:00,5760000.0,0.0,0.0,0.0,0.0
 07/16  22:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/16  23:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/16  24:00:00,1710000.0,0.0,0.0,0.0,0.0,1517420416.4428408,893340000.0,596700000.0,49845418.396492295,574234998.0463483,48448018.08121355,48448018.08121355,1517420416.4428408,893340000.0,596700000.0,49845418.396492295,574234998.0463483,48448018.08121355,48448018.08121355,596700000.0,596700000.0,893340000.0,893340000.0,296640000.0,296640000.0
