sim_time,outdoor_c,avg_zone_temp_c,occupancy_total,previous_setpoint_c,proposed_setpoint_c,disposition,blocking_reasons,executed_setpoint_c,energyplus_actuator_written,energyplus_action_accepted,next_sim_time,next_avg_zone_temp_c,next_setpoint_c,SPACE1-1_temp,next_SPACE1-1_temp
07-15T00:15,24.200000000000003,22.054832739026942,0.0,23.9,24.9,approved,,24.9,True,True,07-15T01:15,21.709545981078833,24.9,22.150266267564337,21.704503702790802
07-15T01:15,20.0,21.709545981078833,0.0,24.9,25.9,approved,,25.9,True,True,07-15T02:15,21.480160241773824,25.9,21.704503702790802,21.447569857071795
07-15T02:15,19.85,21.480160241773824,0.0,25.9,26.9,approved,,26.9,True,True,07-15T03:15,21.260098069107162,26.9,21.447569857071795,21.20995037348608
07-15T03:15,19.275,21.260098069107162,0.0,26.9,27.9,approved,,27.9,True,True,07-15T04:15,21.074592734486323,27.9,21.20995037348608,21.013311887003095
07-15T04:15,18.9,21.074592734486323,0.0,27.9,28.0,approved,,28.0,True,True,07-15T05:23,21.288305768027545,28.0,21.013311887003095,20.984606725466584
07-15T05:23,19.325,21.288305768027545,0.0,28.0,28.0,approved,,28.0,True,True,07-15T06:19,22.259281419623754,28.0,20.984606725466584,22.20048159906944
07-15T06:19,21.0,22.259281419623754,0.0,28.0,27.0,approved,,27.0,True,True,07-15T07:15,22.3449646301428,27.0,22.20048159906944,22.201097897576446
07-15T07:15,22.75,22.3449646301428,0.0,27.0,26.0,approved,,26.0,True,True,07-15T08:20,23.181358033947816,26.0,22.201097897576446,22.925999163961713
