Date/Time,Electricity:Facility [J](Hourly),Electricity:HVAC [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),Electricity:Plant [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:Plant [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),Electricity:Plant [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:Plant [J](RunPeriod),MYGENERALLIGHTS [J](Monthly),MYGENERALLIGHTS [J](RunPeriod),MYBUILDINGELECTRIC [J](Monthly),MYBUILDINGELECTRIC [J](RunPeriod),MYBUILDINGOTHER [J](Monthly),MYBUILDINGOTHER [J](RunPeriod)
 07/15  01:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/15  02:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/15  03:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/15  04:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/15  05:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/15  06:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/15  07:00:00,11130811.492172582,1354960.257918032,6805967.970983759,0.0,1354960.257918032
 07/15  08:00:00,12459378.99654954,1354960.257918032,8023433.454941139,0.0,1354960.257918032
 07/15  09:00:00,44166819.746522434,1359771.4676089585,9699788.227600181,0.0,1359771.4676089585
 07/15  10:00:00,61535717.53337617,1722974.6716009278,16072559.384682477,0.0,1722974.6716009278
 07/15  11:00:00,65710714.296039365,1869561.069079451,18696872.80551767,0.0,1869561.069079451
 07/15  12:00:00,65303916.21954991,1853858.8315840536,19593095.071555514,0.0,1853858.8315840536
 07/15  13:00:00,60735159.1003773,1694216.8650434408,19183888.11512942,0.0,1694216.8650434408
 07/15  14:00:00,66518034.8388789,1907256.4384261153,22048740.618042883,0.0,1907256.4384261153
 07/15  15:00:00,69308306.43272328,2031719.601197823,23786010.324647143,0.0,2031719.601197823
 07/15  16:00:00,67734688.03362781,1974275.6085575214,24041185.384654433,0.0,1974275.6085575214
 07/15  17:00:00,61191981.53099529,1715517.6216408843,21353067.080258854,0.0,1715517.6216408843
 07/15  18:00:00,57607541.06572936,1562633.1150987179,17921511.121535078,0.0,1562633.1150987179
 07/15  19:00:00,38191863.12247585,1359998.6310530906,13108467.6623272,0.0,1359998.6310530906
 07/15  20:00:00,23980583.93323493,1354960.257918032,9953317.279170204,0.0,1354960.257918032
 07/15  21:00:00,5760000.0,0.0,0.0,0.0,0.0
 07/15  22:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/15  23:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/15  24:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/16  01:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/16  02:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/16  03:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/16  04:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/16  05:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/16  06:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/16  07:00:00,16126805.358495656,1354960.257918032,11197158.266304161,0.0,1354960.257918032
 07/16  08:00:00,16720402.086991072,1354960.257918032,11773088.848999057,0.0,1354960.257918032
 07/16  09:00:00,48471913.50391761,1428254.9032693042,13634575.543197766,0.0,1428254.9032693042
 07/16  10:00:00,66813811.240362614,1989933.2668330073,20961166.71888007,0.0,1989933.2668330073
 07/16  11:00:00,69919245.13661829,2025482.7356133754,22663341.630266055,0.0,2025482.7356133754
 07/16  12:00:00,68057834.43144384,1898596.6625420663,22252994.809535105,0.0,1898596.6625420663
 07/16  13:00:00,62395900.870604284,1701633.4223742671,20806360.95360278,0.0,1701633.4223742671
 07/16  14:00:00,68145477.13741846,1930091.2624009317,23629532.428715825,0.0,1930091.2624009317
 07/16  15:00:00,70703929.24003725,2083341.2099763537,25119327.998380072,0.0,2083341.2099763537
 07/16  16:00:00,68510766.98628259,2048162.5851166716,24741882.428264208,0.0,2048162.5851166716
 07/16  17:00:00,63550441.10458441,1884265.7721873396,23542778.503301512,0.0,1884265.7721873396
 07/16  18:00:00,61736488.082992256,1778363.8427062514,21834727.411190443,0.0,1778363.8427062514
 07/16  19:00:00,40473838.48708257,1415630.1634448913,15334811.494542126,0.0,1415630.1634448913
 07/16  20:00:00,28097293.94276759,1354960.257918032,13818784.599931296,0.0,1354960.257918032
 07/16  21:00:00,5760000.0,0.0,0.0,0.0,0.0
 07/16  22:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/16  23:00:00,1710000.0,0.0,0.0,0.0,0.0
 07/16  24:00:00,1710000.0,0.0,0.0,0.0,0.0,1497599663.9518511,893340000.0,596700000.0,47365301.29486362,556894362.6569875,48147817.396760456,48147817.396760456,1497599663.9518511,893340000.0,596700000.0,47365301.29486362,556894362.6569875,48147817.396760456,48147817.396760456,596700000.0,596700000.0,893340000.0,893340000.0,296640000.0,296640000.0
